Inversion Individual Karyotype
LGC1.1 P03-A03-DO-92-09.GT 1
LGC1.1 P03-B03-DO-92-10.GT 1
LGC1.1 P03-B07-DO-21-17.GT 1
LGC1.1 P03-D04-DO-92-20.GT 1
LGC1.1 P03-D06-DO-21-11.GT 1
LGC1.1 P03-F06-DO-21-13.GT 1
LGC1.1 P38-F02-Plate-38-DonCrab-131.GT 1
LGC1.1 P38-G03-Plate-38-DonCrab-123.GT 1
LGC1.1 P39-G06-Plate-39-DonCrab-113.GT 1
LGC1.1 P03-D02-DO-92-04.GT 1
LGC1.1 P39-F04-Plate-39-DonCrab-151.GT 1
LGC1.1 P03-B06-DO-21-09.GT 1
LGC1.1 P40-E05-Plate-40-DonCrab-130.GT 1
LGC1.1 P03-F09-DO-21-37.GT 1
LGC1.1 P03-C03-DO-92-11.GT 1
LGC1.1 P03-C11-DO-21-50.GT 2
LGC1.1 P03-A07-DO-21-16.GT 2
LGC1.1 P03-A08-DO-21-24.GT 2
LGC1.1 P03-A09-DO-21-32.GT 2
LGC1.1 P03-A10-DO-21-40.GT 2
LGC1.1 P03-A11-DO-21-48.GT 2
LGC1.1 P03-B04-DO-92-18.GT 2
LGC1.1 P03-B05-DO-21-01.GT 2
LGC1.1 P03-B08-DO-21-25.GT 2
LGC1.1 P03-B09-DO-21-33.GT 2
LGC1.1 P03-B10-DO-21-41.GT 2
LGC1.1 P03-C02-DO-92-03.GT 2
LGC1.1 P03-C05-DO-21-02.GT 2
LGC1.1 P03-C07-DO-21-18.GT 2
LGC1.1 P03-D05-DO-21-03.GT 2
LGC1.1 P03-D11-DO-21-51.GT 2
LGC1.1 P03-E02-DO-92-05.GT 2
LGC1.1 P03-E03-DO-92-13.GT 2
LGC1.1 P03-E05-DO-21-04.GT 2
LGC1.1 P03-E08-DO-21-28.GT 2
LGC1.1 P03-F03-DO-92-14.GT 2
LGC1.1 P03-F04-DO-92-22.GT 2
LGC1.1 P03-G02-DO-92-07.GT 2
LGC1.1 P03-G03-DO-92-15.GT 2
LGC1.1 P03-H04-DO-92-24.GT 2
LGC1.1 P03-H06-DO-21-15.GT 2
LGC1.1 P03-H07-DO-21-23.GT 2
LGC1.1 P36-B11-Plate-36-DonCrab-129.GT 2
LGC1.1 P36-B12-Plate-36-DonCrab-118.GT 2
LGC1.1 P36-D12-Plate-36-DonCrab-115.GT 2
LGC1.1 P36-E11-Plate-36-DonCrab-121.GT 2
LGC1.1 P36-F12-Plate-36-DonCrab-132.GT 2
LGC1.1 P38-A02-Plate-38-RefW-102.GT 2
LGC1.1 P38-A03-Plate-38-DonCrab-136.GT 2
LGC1.1 P38-G01-Plate-38-DonCrab-110.GT 2
LGC1.1 P38-G04-Plate-38-DonCrab-137.GT 2
LGC1.1 P39-B02-Plate-39-DonCrab-108.GT 2
LGC1.1 P39-D01-Plate-39-DonCrab-124.GT 2
LGC1.1 P39-E01-Plate-39-DonCrab-133.GT 2
LGC1.1 P40-A02-Plate-40-DonCrab-140.GT 2
LGC1.1 P40-A03-Plate-40-DonCrab-116.GT 2
LGC1.1 P40-A05-Plate-40-DonCrab-152.GT 2
LGC1.1 P40-B02-Plate-40-DonCrab-117.GT 2
LGC1.1 P40-B03-Plate-40-DonCrab-125.GT 2
LGC1.1 P40-D01-Plate-40-DonCrab-145.GT 2
LGC1.1 P40-D04-Plate-40-DonCrab-150.GT 2
LGC1.1 P40-D05-Plate-40-DonCrab-107.GT 2
LGC1.1 P40-E02-Plate-40-DonCrab-109.GT 2
LGC1.1 P40-G05-Plate-40-DonCrab-134.GT 2
LGC1.1 P40-H04-Plate-40-DonCrab-143.GT 2
LGC1.1 P03-B02-DO-92-02.GT 2
LGC1.1 P03-E06-DO-21-12.GT 2
LGC1.1 P03-E07-DO-21-20.GT 2
LGC1.1 P03-E09-DO-21-36.GT 2
LGC1.1 P03-F02-DO-92-06.GT 2
LGC1.1 P36-D10-Plate-36-DonCrab-105.GT 2
LGC1.1 P38-A04-Plate-38-DonCrab-126.GT 2
LGC1.1 P38-C03-Plate-38-DonCrab-139.GT 2
LGC1.1 P38-G06-Plate-38-DonCrab-127.GT 2
LGC1.1 P39-D02-Plate-39-DonCrab-148.GT 2
LGC1.1 P39-E05-Plate-39-DonCrab-146.GT 2
LGC1.1 P40-A04-Plate-40-DonCrab-141.GT 2
LGC1.1 P40-E03-Plate-40-DonCrab-120.GT 2
LGC1.1 P41-G01-Plate-41-DonCrab-120.GT 2
LGC1.1 P03-D09-DO-21-35.GT 2
LGC1.1 P03-H08-DO-21-31.GT 2
LGC1.1 P38-B06-Plate-38-DonCrab-111.GT 2
LGC1.1 P39-C03-Plate-39-DonCrab-103.GT 2
LGC1.1 P39-D04-Plate-39-DonCrab-149.GT 2
LGC1.1 P40-E01-Plate-40-DonCrab-138.GT 2
LGC1.1 P03-E10-DO-21-44.GT 2
LGC1.1 P39-E04-Plate-39-DonCrab-144.GT 2
LGC1.1 P36-H11-Plate-36-ExpSkerry-012.GT 2
LGC1.1 P03-D07-DO-21-19.GT 3
