Inversion	Population	n
LGC1.1	Wave	99
LGC1.1	Crab	97
LGC1.1	Skerry 2018	51
LGC1.1	Skerry 2021	49
LGC1.1	Skerry 2005	38
LGC1.1	Crab 1992	24
LGC1.2	Wave	102
LGC1.2	Crab	97
LGC1.2	Skerry 2018	52
LGC1.2	Skerry 2021	48
LGC1.2	Skerry 2005	38
LGC1.2	Crab 1992	24
LGC2.1	Wave	99
LGC2.1	Crab	97
LGC2.1	Skerry 2018	51
LGC2.1	Skerry 2021	49
LGC2.1	Skerry 2005	38
LGC2.1	Crab 1992	24
LGC4.1	Wave	98
LGC4.1	Crab	97
LGC4.1	Skerry 2018	51
LGC4.1	Skerry 2021	47
LGC4.1	Skerry 2005	38
LGC4.1	Crab 1992	24
LGC6.1/2	Crab	96
LGC6.1/2	Wave	92
LGC6.1/2	Skerry 2018	51
LGC6.1/2	Skerry 2021	42
LGC6.1/2	Skerry 2005	38
LGC6.1/2	Crab 1992	24
LGC7.1	Crab	97
LGC7.1	Wave	94
LGC7.1	Skerry 2018	51
LGC7.1	Skerry 2021	39
LGC7.1	Skerry 2005	38
LGC7.1	Crab 1992	24
LGC7.2	Crab	98
LGC7.2	Wave	96
LGC7.2	Skerry 2018	51
LGC7.2	Skerry 2021	46
LGC7.2	Skerry 2005	38
LGC7.2	Crab 1992	24
LGC9.1	Crab	97
LGC9.1	Wave	96
LGC9.1	Skerry 2018	51
LGC9.1	Skerry 2021	43
LGC9.1	Skerry 2005	38
LGC9.1	Crab 1992	24
LGC10.1	Wave	101
LGC10.1	Crab	97
LGC10.1	Skerry 2018	52
LGC10.1	Skerry 2021	49
LGC10.1	Skerry 2005	38
LGC10.1	Crab 1992	24
LGC10.2	Wave	101
LGC10.2	Crab	97
LGC10.2	Skerry 2018	52
LGC10.2	Skerry 2021	49
LGC10.2	Skerry 2005	38
LGC10.2	Crab 1992	24
LGC11.1	Wave	98
LGC11.1	Crab	93
LGC11.1	Skerry 2018	50
LGC11.1	Skerry 2021	46
LGC11.1	Skerry 2005	38
LGC11.1	Crab 1992	24
LGC14.1/2	Crab	98
LGC14.1/2	Wave	96
LGC14.1/2	Skerry 2018	51
LGC14.1/2	Skerry 2021	44
LGC14.1/2	Skerry 2005	38
LGC14.1/2	Crab 1992	24
LGC17.1	Wave	99
LGC17.1	Crab	98
LGC17.1	Skerry 2018	51
LGC17.1	Skerry 2021	41
LGC17.1	Skerry 2005	37
LGC17.1	Crab 1992	24
