Year	Frequency	Population	Color	NumSnps	Inversion
C 1992	0.5625	Wave	3	15	LGC1.1
S 2005	1	Wave	3	15	LGC1.1
S 2018	0.990196078431373	Wave	3	15	LGC1.1
S 2021	1	Wave	3	15	LGC1.1
C 1992	0.708333333333333	Wave	1	12	LGC1.2
S 2005	0.842105263157895	Wave	1	12	LGC1.2
S 2018	0.788461538461538	Wave	1	12	LGC1.2
S 2021	0.822916666666667	Wave	1	12	LGC1.2
C 1992	0.5	Wave	1	18	LGC2.1
S 2005	0.684210526315789	Wave	1	18	LGC2.1
S 2018	0.862745098039216	Wave	1	18	LGC2.1
S 2021	0.836734693877551	Wave	1	18	LGC2.1
C 1992	0.791666666666667	Wave	1	16	LGC4.1
S 2005	0.868421052631579	Wave	1	16	LGC4.1
S 2018	0.892156862745098	Wave	1	16	LGC4.1
S 2021	0.914893617021277	Wave	1	16	LGC4.1
C 1992	0	Wave	6	22	LGC6.1/2
S 2005	0.802631578947368	Wave	6	22	LGC6.1/2
S 2018	1	Wave	6	22	LGC6.1/2
S 2021	0.916666666666667	Wave	6	22	LGC6.1/2
C 1992	0.708333333333333	Wave	1	22	LGC6.1/2
S 2005	0.144736842105263	Wave	1	22	LGC6.1/2
S 2018	0	Wave	1	22	LGC6.1/2
S 2021	0.0238095238095238	Wave	1	22	LGC6.1/2
C 1992	0.375	Wave	3	12	LGC7.1
S 2005	0.894736842105263	Wave	3	12	LGC7.1
S 2018	0.892156862745098	Wave	3	12	LGC7.1
S 2021	0.858974358974359	Wave	3	12	LGC7.1
C 1992	0.708333333333333	Wave	3	15	LGC7.2
S 2005	0.894736842105263	Wave	3	15	LGC7.2
S 2018	0.92156862745098	Wave	3	15	LGC7.2
S 2021	0.934782608695652	Wave	3	15	LGC7.2
C 1992	0.3125	Wave	3	13	LGC9.1
S 2005	0.526315789473684	Wave	3	13	LGC9.1
S 2018	0.46078431372549	Wave	3	13	LGC9.1
S 2021	0.430232558139535	Wave	3	13	LGC9.1
C 1992	0.6875	Wave	1	15	LGC10.1
S 2005	0.776315789473684	Wave	1	15	LGC10.1
S 2018	0.855769230769231	Wave	1	15	LGC10.1
S 2021	0.86734693877551	Wave	1	15	LGC10.1
C 1992	0.875	Wave	1	17	LGC10.2
S 2005	1	Wave	1	17	LGC10.2
S 2018	1	Wave	1	17	LGC10.2
S 2021	1	Wave	1	17	LGC10.2
C 1992	0.833333333333333	Wave	1	14	LGC11.1
S 2005	0.907894736842105	Wave	1	14	LGC11.1
S 2018	0.99	Wave	1	14	LGC11.1
S 2021	0.945652173913043	Wave	1	14	LGC11.1
C 1992	0.0416666666666667	Wave	1	26	LGC14.1/2
S 2005	0.855263157894737	Wave	1	26	LGC14.1/2
S 2018	0.990196078431373	Wave	1	26	LGC14.1/2
S 2021	0.965909090909091	Wave	1	26	LGC14.1/2
C 1992	0.708333333333333	Wave	3	26	LGC14.1/2
S 2005	0.0526315789473684	Wave	3	26	LGC14.1/2
S 2018	0.00980392156862745	Wave	3	26	LGC14.1/2
S 2021	0.0227272727272727	Wave	3	26	LGC14.1/2
C 1992	0	Wave	3	12	LGC17.1
S 2005	0.0810810810810811	Wave	3	12	LGC17.1
S 2018	0.392156862745098	Wave	3	12	LGC17.1
S 2021	0.378048780487805	Wave	3	12	LGC17.1
