Year	Frequency	Population	Color	NumSnps	Inversion
Wave	0.994949494949495	Wave	3	15	LGC1.1
Crab	0.587628865979381	Wave	3	15	LGC1.1
Wave	0.852941176470588	Wave	1	12	LGC1.2
Crab	0.608247422680412	Wave	1	12	LGC1.2
Wave	0.823232323232323	Wave	1	18	LGC2.1
Crab	0.474226804123711	Wave	1	18	LGC2.1
Wave	0.918367346938776	Wave	1	16	LGC4.1
Crab	0.757731958762887	Wave	1	16	LGC4.1
Wave	0.798913043478261	Wave	6	22	LGC6.1/2
Wave	0.00543478260869565	Wave	1	22	LGC6.1/2
Crab	0.677083333333333	Wave	1	22	LGC6.1/2
Crab	0	Wave	6	22	LGC6.1/2
Wave	0.99468085106383	Wave	3	12	LGC7.1
Crab	0.536082474226804	Wave	3	12	LGC7.1
Wave	0.947916666666667	Wave	3	15	LGC7.2
Crab	0.607142857142857	Wave	3	15	LGC7.2
Wave	0.348958333333333	Wave	3	13	LGC9.1
Crab	0.221649484536082	Wave	3	13	LGC9.1
Wave	0.905940594059406	Wave	1	15	LGC10.1
Crab	0.701030927835051	Wave	1	15	LGC10.1
Wave	1	Wave	1	17	LGC10.2
Crab	0.922680412371134	Wave	1	17	LGC10.2
Wave	0.98469387755102	Wave	1	14	LGC11.1
Crab	0.779569892473118	Wave	1	14	LGC11.1
Wave	0.984375	Wave	1	26	LGC14.1/2
Wave	0.015625	Wave	3	26	LGC14.1/2
Crab	0.755102040816326	Wave	3	26	LGC14.1/2
Crab	0	Wave	1	26	LGC14.1/2
Wave	0.348484848484849	Wave	3	12	LGC17.1
Crab	0	Wave	3	12	LGC17.1
