Sample,Ridges
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 1992,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2018,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,0
C 2021,1
C 2021,1
C 2021,1
C 2021,0
C 2021,1
C 2021,
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
C 2021,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,0
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 1996,1
S 2002,1
S 2002,1
S 2002,1
S 2002,0
S 2002,1
S 2002,1
S 2002,1
S 2002,1
S 2002,0
S 2002,1
S 2002,1
S 2002,1
S 2002,1
S 2002,0
S 2002,0
S 2002,1
S 2002,0
S 2002,1
S 2002,1
S 2002,1
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,1
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,1
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,0
S 2005,1
S 2005,0
S 2005,0
S 2018,0
S 2018,0
S 2018,1
S 2018,1
S 2018,0
S 2018,1
S 2018,
S 2018,0
S 2018,0
S 2018,1
S 2018,1
S 2018,0
S 2018,1
S 2018,0
S 2018,
S 2018,0
S 2018,1
S 2018,0
S 2018,0
S 2018,0
S 2018,0
S 2018,1
S 2018,0
S 2018,1
S 2018,0
S 2018,1
S 2018,1
S 2018,0
S 2018,0
S 2018,0
S 2018,0
S 2021,0
S 2021,1
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,1
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,1
S 2021,0
S 2021,0
S 2021,0
S 2021,1
S 2021,1
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,0
S 2021,1
S 2021,0
S 2021,1
S 2021,0
S 2021,0
S 2021,0
S 2021,1
S 2021,1
S 2021,0
S 2021,0
S 2021,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,1
W 2018,0
W 2018,
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,1
W 2018,0
W 2018,
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2018,0
W 2021,0
W 2021,1
W 2021,0
W 2021,1
W 2021,0
W 2021,1
W 2021,1
W 2021,0
W 2021,1
W 2021,1
W 2021,
W 2021,1
W 2021,
W 2021,1
W 2021,0
W 2021,
W 2021,0
W 2021,1
W 2021,0
W 2021,1
W 2021,0
W 2021,0
W 2021,1
W 2021,1
W 2021,0
W 2021,1
W 2021,0
W 2021,1
W 2021,
W 2021,1
W 2021,1
W 2021,0
W 2021,0
W 2021,1
W 2021,1
W 2021,0
W 2021,
W 2021,0
W 2021,1
W 2021,0
W 2021,
W 2021,0
W 2021,1
W 2021,1
W 2021,0
W 2021,0
W 2021,0
W 2021,0
W 2021,1
W 2021,1
