N0_set r_set K_set M_set gen_factor nll
20 0.025 250 0 1.33333333333333 7018.16272967865
40 0.025 250 0 1.33333333333333 6416.13923508195
80 0.025 250 0 1.33333333333333 6060.15179361818
160 0.025 250 0 1.33333333333333 5879.92697710949
320 0.025 250 0 1.33333333333333 5816.73427591686
20 0.05 250 0 1.33333333333333 6640.92219789254
40 0.05 250 0 1.33333333333333 6208.41050795138
80 0.05 250 0 1.33333333333333 5967.15932056058
160 0.05 250 0 1.33333333333333 5856.27509983754
320 0.05 250 0 1.33333333333333 5823.54767308493
20 0.1 250 0 1.33333333333333 6257.74823524212
40 0.1 250 0 1.33333333333333 6008.84170624244
80 0.1 250 0 1.33333333333333 5884.88592664737
160 0.1 250 0 1.33333333333333 5837.76019106474
320 0.1 250 0 1.33333333333333 5828.4241021667
20 0.2 250 0 1.33333333333333 6015.22996128266
40 0.2 250 0 1.33333333333333 5894.47147167169
80 0.2 250 0 1.33333333333333 5844.73442337115
160 0.2 250 0 1.33333333333333 5830.65018334162
320 0.2 250 0 1.33333333333333 5829.63757370152
20 0.4 250 0 1.33333333333333 5908.88374622612
40 0.4 250 0 1.33333333333333 5852.71853666205
80 0.4 250 0 1.33333333333333 5834.28675976354
160 0.4 250 0 1.33333333333333 5829.83597355291
320 0.4 250 0 1.33333333333333 5829.33083621351
20 0.025 500 0 1.33333333333333 6987.32186182467
40 0.025 500 0 1.33333333333333 6378.79297765503
80 0.025 500 0 1.33333333333333 6018.69894228915
160 0.025 500 0 1.33333333333333 5838.79327120485
320 0.025 500 0 1.33333333333333 5786.31065733352
20 0.05 500 0 1.33333333333333 6588.60822616162
40 0.05 500 0 1.33333333333333 6145.95502875388
80 0.05 500 0 1.33333333333333 5901.49501377485
160 0.05 500 0 1.33333333333333 5796.69479154835
320 0.05 500 0 1.33333333333333 5780.63870297034
20 0.1 500 0 1.33333333333333 6177.11770533439
40 0.1 500 0 1.33333333333333 5922.4045896273
80 0.1 500 0 1.33333333333333 5802.74703545644
160 0.1 500 0 1.33333333333333 5769.17369173873
320 0.1 500 0 1.33333333333333 5779.69313108619
20 0.2 500 0 1.33333333333333 5922.20398931037
40 0.2 500 0 1.33333333333333 5802.68078015301
80 0.2 500 0 1.33333333333333 5764.42439912122
160 0.2 500 0 1.33333333333333 5767.96101374479
320 0.2 500 0 1.33333333333333 5784.20289827736
20 0.4 500 0 1.33333333333333 5816.07245172756
40 0.4 500 0 1.33333333333333 5769.71032261964
80 0.4 500 0 1.33333333333333 5767.87148254155
160 0.4 500 0 1.33333333333333 5778.84087192279
320 0.4 500 0 1.33333333333333 5789.34114336587
20 0.025 1000 0 1.33333333333333 6970.53159293732
40 0.025 1000 0 1.33333333333333 6360.49045252769
80 0.025 1000 0 1.33333333333333 5997.21583839708
160 0.025 1000 0 1.33333333333333 5818.74377820683
320 0.025 1000 0 1.33333333333333 5774.84122289092
20 0.05 1000 0 1.33333333333333 6560.9271706971
40 0.05 1000 0 1.33333333333333 6115.3864659597
80 0.05 1000 0 1.33333333333333 5869.10869742755
160 0.05 1000 0 1.33333333333333 5770.62625714054
320 0.05 1000 0 1.33333333333333 5770.99427133807
20 0.1 1000 0 1.33333333333333 6136.10289470083
40 0.1 1000 0 1.33333333333333 5881.9202629221
80 0.1 1000 0 1.33333333333333 5768.5630934191
160 0.1 1000 0 1.33333333333333 5750.43976891655
320 0.1 1000 0 1.33333333333333 5783.40272423339
20 0.2 1000 0 1.33333333333333 5885.71762111462
40 0.2 1000 0 1.33333333333333 5772.50932832936
80 0.2 1000 0 1.33333333333333 5747.03777593407
160 0.2 1000 0 1.33333333333333 5770.45551845615
320 0.2 1000 0 1.33333333333333 5808.28792565712
20 0.4 1000 0 1.33333333333333 5789.41462324067
40 0.4 1000 0 1.33333333333333 5755.15716130091
80 0.4 1000 0 1.33333333333333 5772.8030229557
160 0.4 1000 0 1.33333333333333 5804.40174125284
320 0.4 1000 0 1.33333333333333 5830.90256876558
20 0.025 2000 0 1.33333333333333 6962.33886423868
40 0.025 2000 0 1.33333333333333 6351.30972538147
80 0.025 2000 0 1.33333333333333 5986.57908045955
160 0.025 2000 0 1.33333333333333 5808.94591785689
320 0.025 2000 0 1.33333333333333 5770.75070074433
20 0.05 2000 0 1.33333333333333 6548.66834113707
40 0.05 2000 0 1.33333333333333 6099.44606831326
80 0.05 2000 0 1.33333333333333 5853.18149445781
160 0.05 2000 0 1.33333333333333 5759.67440565313
320 0.05 2000 0 1.33333333333333 5773.03778985055
20 0.1 2000 0 1.33333333333333 6117.06406291678
40 0.1 2000 0 1.33333333333333 5862.78342358269
80 0.1 2000 0 1.33333333333333 5756.6339825881
160 0.1 2000 0 1.33333333333333 5752.7036209925
320 0.1 2000 0 1.33333333333333 5806.67839749647
20 0.2 2000 0 1.33333333333333 5878.93830506778
40 0.2 2000 0 1.33333333333333 5772.55926857505
80 0.2 2000 0 1.33333333333333 5759.02505990689
160 0.2 2000 0 1.33333333333333 5800.94212194299
320 0.2 2000 0 1.33333333333333 5860.34744337852
20 0.4 2000 0 1.33333333333333 5797.07245772741
40 0.4 2000 0 1.33333333333333 5772.91591444171
80 0.4 2000 0 1.33333333333333 5808.90717570207
160 0.4 2000 0 1.33333333333333 5861.88409470284
320 0.4 2000 0 1.33333333333333 5906.40761401997
20 0.025 4000 0 1.33333333333333 6958.72671722411
40 0.025 4000 0 1.33333333333333 6346.49597749887
80 0.025 4000 0 1.33333333333333 5981.59519614771
160 0.025 4000 0 1.33333333333333 5804.21005043905
320 0.025 4000 0 1.33333333333333 5769.2332606222
20 0.05 4000 0 1.33333333333333 6542.4247176071
40 0.05 4000 0 1.33333333333333 6091.52753457119
80 0.05 4000 0 1.33333333333333 5845.56934222766
160 0.05 4000 0 1.33333333333333 5754.9909671237
320 0.05 4000 0 1.33333333333333 5776.94221678025
20 0.1 4000 0 1.33333333333333 6107.61056212145
40 0.1 4000 0 1.33333333333333 5854.35603201574
80 0.1 4000 0 1.33333333333333 5753.15314199901
160 0.1 4000 0 1.33333333333333 5759.78498656352
320 0.1 4000 0 1.33333333333333 5829.92182022289
20 0.2 4000 0 1.33333333333333 5881.41758021618
40 0.2 4000 0 1.33333333333333 5781.63832915021
80 0.2 4000 0 1.33333333333333 5777.3977409663
160 0.2 4000 0 1.33333333333333 5833.83876258235
320 0.2 4000 0 1.33333333333333 5911.05633193604
