cp fst_skerry fst_area
LGC1.1 0.28 0.230696967234672
LGC1.2 0.0182917611489042 0.120576899267348
LGC10.1 0.0467314323591837 0.0974984464046105
LGC10.2 0.0666666666666667 0.0154884004211833
LGC11.1 0.0320857400420684 0.0467240301432766
LGC14.1/2 0.854273087298399 0.778332737570072
LGC17.1 0.233082706766917 0.244549635802785
LGC2.1 0.127891955372871 0.24439033695513
LGC4.1 0.0303229097186802 0.121217359351698
LGC6.1/2 0.846153846153847 0.609663836242589
LGC7.1 0.247796554909526 0.266833952489581
LGC7.2 0.0874473217333877 0.0751712478774773
LGC9.1 0.0148433876678394 0.0711434676145502
