Sample,Thickness
C 1992,554.3333333
C 1992,572
C 1992,487.6666667
C 1992,556
C 1992,456.6666667
C 1992,423.3333333
C 1992,529
C 1992,674
C 1992,423.6666667
C 1992,445.6666667
C 1992,474
C 1992,483.3333333
C 1992,460.6666667
C 1992,523.6666667
C 1992,461.6666667
C 1992,465
C 1992,335.6666667
C 1992,426.6666667
C 1992,539
C 1992,462
C 1992,462.6666667
C 2021,316
C 2021,488.6666667
C 2021,489
C 2021,421.3333333
C 2021,561.3333333
C 2021,394.6666667
C 2021,405
C 2021,471
C 2021,411.6666667
C 2021,482.6666667
C 2021,597
C 2021,455.6666667
C 2021,415.6666667
C 2021,511.3333333
C 2021,437.3333333
C 2021,283
C 2021,466.3333333
C 2021,503.6666667
C 2021,346.3333333
C 2021,325.6666667
C 2021,306
C 2021,350.3333333
C 2021,374.3333333
C 2021,375.6666667
C 2021,526
C 2021,336
C 2021,360.3333333
C 2021,330.6666667
C 2021,404
C 2021,586
C 2021,290.3333333
C 2021,396
C 2021,502.3333333
C 2021,259.6666667
C 2021,360
C 2021,361.3333333
C 2021,374.3333333
C 2021,341.6666667
C 2021,220
C 2021,509.3333333
C 2021,326.3333333
C 2021,447
C 2021,324.3333333
C 2021,328.6666667
C 2021,263.3333333
C 2021,379
C 2021,325.3333333
C 2021,341.3333333
C 2021,422
C 2021,310.6666667
S 1996,251
S 1996,301.6666667
S 1996,235.6666667
S 1996,183
S 1996,294.6666667
S 1996,187.3333333
S 1996,283.6666667
S 1996,205
S 1996,271
S 1996,221.3333333
S 1996,256
S 1996,222.3333333
S 1996,209.3333333
S 1996,246
S 1996,206.6666667
S 1996,215.6666667
S 1996,209.3333333
S 1996,260.6666667
S 1996,216
S 1996,183.3333333
S 1996,264.6666667
S 1996,175.6666667
S 1996,248
S 1996,413
S 1996,225.3333333
S 1996,228
S 1996,159.6666667
S 1996,294.3333333
S 1996,294
S 1996,348.6666667
S 1996,191.6666667
S 1996,349.6666667
S 1996,230.6666667
S 1996,126
S 1996,225
S 2002,188.3333333
S 2002,201.3333333
S 2002,146.3333333
S 2002,221.6666667
S 2002,329.6666667
S 2002,291
S 2002,115.6666667
S 2002,209
S 2002,281.6666667
S 2002,303.3333333
S 2002,235.6666667
S 2002,137.6666667
S 2002,267.6666667
S 2002,267.6666667
S 2002,175
S 2002,116.6666667
S 2002,179
S 2002,153
S 2002,206
S 2002,297
S 2005,147
S 2005,194
S 2005,194
S 2005,109.3333333
S 2005,123.6666667
S 2005,256.3333333
S 2005,171.3333333
S 2005,158.3333333
S 2005,159.6666667
S 2005,127
S 2005,184
S 2005,116.3333333
S 2005,85
S 2005,78.33333333
S 2005,150
S 2005,238
S 2005,129
S 2005,185
S 2005,315
S 2005,222.3333333
S 2005,163
S 2005,162
S 2005,171.3333333
S 2005,128
S 2005,126.6666667
S 2005,149.6666667
S 2005,124.3333333
S 2005,78.66666667
S 2005,135.6666667
S 2005,85.66666667
S 2005,106.6666667
S 2005,152.6666667
S 2005,141
S 2005,145.6666667
S 2005,93
S 2005,90
S 2005,97
S 2005,122
S 2021,138.6666667
S 2021,107.3333333
S 2021,99.66666667
S 2021,95.33333333
S 2021,84.33333333
S 2021,100
S 2021,148.3333333
S 2021,138.6666667
S 2021,117.6666667
S 2021,168
S 2021,142.3333333
S 2021,93.33333333
S 2021,104.6666667
S 2021,139.3333333
S 2021,94
S 2021,112
S 2021,141.3333333
S 2021,105.3333333
S 2021,115.6666667
S 2021,92.66666667
S 2021,93.33333333
S 2021,98
S 2021,105.6666667
S 2021,90
S 2021,100
S 2021,115.6666667
S 2021,251.3333333
S 2021,81
S 2021,73.66666667
S 2021,103.6666667
S 2021,93.33333333
S 2021,410
S 2021,134
S 2021,103.3333333
S 2021,111
S 2021,109.3333333
S 2021,156.3333333
S 2021,136
S 2021,149.6666667
S 2021,244
S 2021,193.6666667
S 2021,363.3333333
S 2021,100.6666667
S 2021,101.3333333
S 2021,128.3333333
S 2021,140.6666667
S 2021,87
S 2021,117.3333333
S 2021,116
S 2021,121.3333333
W 2021,86.33333333
W 2021,84.33333333
W 2021,72
W 2021,91.66666667
W 2021,74
W 2021,116
W 2021,211.6666667
W 2021,84
W 2021,106.3333333
W 2021,173.3333333
W 2021,167.3333333
W 2021,167
W 2021,73.66666667
W 2021,77.66666667
W 2021,72
W 2021,152.6666667
W 2021,88
W 2021,179.3333333
W 2021,78.33333333
W 2021,108.6666667
W 2021,71.33333333
W 2021,76
W 2021,132.3333333
W 2021,91
W 2021,79.66666667
W 2021,284.6666667
W 2021,87
W 2021,88
W 2021,145.6666667
W 2021,235
W 2021,110
W 2021,86.33333333
W 2021,105
W 2021,76
W 2021,75.66666667
W 2021,164
W 2021,95.33333333
W 2021,81.66666667
W 2021,200
W 2021,92.33333333
W 2021,73.66666667
W 2021,86
W 2021,77.66666667
W 2021,77.5
W 2021,89.66666667
W 2021,112.6666667
W 2021,89.66666667
W 2021,94.33333333
W 2021,106
W 2021,111
