shellLength	gh	r0
crab.low.WaveHab	2.4254234251828	-2.13167007580831	-1.57503472606493
Va.crab	0.018120674331377	0.00342372025945599	2.98458706276695e-15
Va.site	0.0409119062184607	0.00755782524300807	5.1243825089674e-09
Vgenet.crab	0.0136737726818588	0.00411146547580924	0.000567839635877341
Vgenet.site	0.217868040018445	0.0179995280415739	0.00106109045746791
av.Crab	2.44815811905202	-2.2069003502583	-1.60837114530091
av.Wave	1.55886369837542	-1.8943630575048	-1.4930994708464
sd.Crab	0.119010822329016	0.0886901984706852	0.0834499157282167
sd.Wave	0.346979298219716	0.124536991297582	0.0924038833516316
sd.total	0.496414847390163	0.191001218548108	0.10588076162294
