weight_g	shellLength	gh	gw	a0	r0	c0	relFoot	Bold.Score
crab.low.WaveHab	0.933787168826677	0.89502005933627	-0.550444883138254	-0.526967290421537	-0.441791003549731	-0.219206855151699	0.405811299944135	0.133900289401827	0.786381391769025
Va.crab	0.147221601908621	0.113219916758732	0.0684829165187291	0.0568889657531669	0.187819656571549	1.68080589476749e-13	0.267199863724656	0.0450535024658875	0.0767010220040082
Va.site	0.220470209314129	0.19185092624023	0.215688711037222	0.201357719632331	0.271792679793231	3.87455061415908e-07	0.295055731459816	0.247276735206696	0.251390159224579
Vgenet.crab	0.206798741771763	0.119670849770721	0.0758012837950216	0.0680011089377995	0.203190237166255	0.049717238950513	0.321921333182043	0.0696362977947965	0.149714275831263
Vgenet.site	0.582694289867364	0.788208615122855	0.528212954397055	0.466657604382223	0.494402310700956	0.096560312698504	0.40470651191473	0.236679379579399	0.417306034355818
av.Crab.z	0.923125254715302	0.954587991554762	-0.887264421539682	-0.900360846190873	-0.930424544816597	-0.530929778693882	0.923085403669009	-0.281045444838695	0.663834158204363
av.Wave.z	-0.755334853751883	-0.874172980335112	0.696384713320713	0.688833142411975	0.667051398147225	0.565067307887892	-0.695280482724336	-0.0745038862560072	-0.422344147532232
crab.low.WaveHab.o	0.490765800531563	11.4341287813602	0.119212077450151	0.106732644465394	0.291523490270361	0.207929502043559	1.44070375499797	0.0174260175189074	2.32472864164489
av.Crab	0.48810784	11.6483140065116	0.110474685364341	0.0989343347209302	0.274116930192768	0.200893093052841	1.52621559884804	0.0152894980678936	2.21106074624433
av.Wave	0.0696763392857143	5.07273607515789	0.151555922763158	0.132124588745614	0.331023709251809	0.225632639526333	1.25867958656169	0.0163529625668414	1.20358307048209
sd.Crab	0.179011390697154	1.38346409815439	0.00992631177110965	0.00785775611713106	0.020143071512326	0.0163198466197223	0.129208570809916	0.00373293072140312	0.757791636807677
sd.Wave	0.131307706620784	2.03702455645952	0.0184741168765258	0.0157250042917519	0.0234603655804198	0.0210646328431294	0.100087133165544	0.00461544806206288	0.786301595163586
sd.total	0.249294873678236	3.59564646907267	0.0259408706729968	0.0208849607176423	0.0356229333591472	0.0225726389023998	0.165312439254742	0.00514891291731019	0.92754354459236
