shellLength	gh	r0
crab.low.WaveHab	2.32345153225566	-2.06511418607707	-1.58541021685869
Va.crab	0.00286848144703723	0.00161655330258665	0.000641844910319365
Va.site	0.0173824768408915	0.00367346661251006	0.00154927192212928
Vgenet.crab	0.00847736592261903	0.00332871614966011	0.000825236989606398
Vgenet.site	0.0989442577756472	0.00620375733688757	0.00260071760915501
av.Crab	2.45753226048898	-2.19370780356714	-1.59423685145018
av.Wave	1.77857782125526	-1.96047155685552	-1.51658923096599
sd.Crab	0.14617214517338	0.100058903975753	0.108301829198624
sd.Wave	0.355330507761461	0.121391472581304	0.094891351857458
sd.total	0.43590797689626	0.146017980919508	0.0974171222322461
