shellLength	gh	r0
crab.low.WaveHab	2.28578431334519	-2.14221559943358	-1.46174895400721
Va.crab	0.0200041425138583	1.60872405315892e-05	0.000141132366448522
Va.site	0.0574596550079918	0.000346964196151637	0.000976149442539778
Vgenet.crab	0.0136443769561465	0.0016332552047317	0.00169837516202719
Vgenet.site	0.205028850296788	0.0122558822456576	0.00213413459039589
av.Crab	2.42414421224725	-2.27660811511477	-1.53515229088498
av.Wave	1.46938143190781	-1.97299143411119	-1.40134866417877
sd.Crab	0.132011372422997	0.0890135820688917	0.0955488605250125
sd.Wave	0.366408823099895	0.122622549392011	0.0937143538232722
sd.total	0.535445152277861	0.177485010615703	0.109653071307541
