weight_g	shellLength	gh	gw	a0	r0	c0	relFoot	Bold.Score
crab.low.WaveHab	0.689180551284944	0.676193851021811	-0.284235347619466	-0.441315995892604	-0.222782789765585	-0.0498133241373805	0.292220236674768	0.746737601068711	0.33283607282432
Va.crab	0.117713188951063	0.0704129943898465	1.81426512598187e-13	0.036625095357727	2.5658485108777e-06	0.0153134495106828	0.00116448836583546	0.0891036590433807	0.102244081065289
Va.site	0.156982717594858	0.147717729306674	2.34198410595291e-07	0.128237914931481	0.000991206547905147	0.0976153243279178	0.023327459744916	0.372537270485418	0.33249715248705
Vgenet.crab	0.187514288710192	0.0898754012912965	0.0489630028350405	0.0691204133641467	0.0435201887381391	0.130507107388232	0.0603682621795415	0.197502542770805	0.100056709637953
Vgenet.site	0.519689110613534	0.647205788372398	0.396086161591524	0.46924779781302	0.363899440649526	0.175254496122873	0.351535841709214	0.406533025037671	0.50434946456655
av.Crab.z	0.969028603361348	0.963712660151926	-0.987301436249837	-1.06440720175154	-0.906942060037858	-0.711765307844486	0.64352806209585	-0.166014453910114	0.861072634919713
av.Wave.z	-0.755445449242015	-0.832267933837371	0.696359926989903	0.779528320349363	0.661037097458139	0.507888188367718	-0.602407757761628	-0.301707718075573	-0.656345727249597
crab.low.WaveHab.o	0.403798419028778	10.3144349883428	0.118493061163066	0.103151001373234	0.274612983245042	0.233195754527496	1.51349818521249	0.0206633149197769	2.59397971660726
av.Crab	0.47383	11.3912530648833	0.103037289333333	0.0919661390833333	0.250048302332371	0.216399444703081	1.59563020992304	0.0161011737204903	3.00752133837194
av.Wave	0.0422827966101695	4.664930099875	0.140049863669643	0.125065891883929	0.306346461774512	0.247346822315104	1.30434369667318	0.0154229480977287	1.81957696758133
sd.Crab	0.19342833327942	1.54608120019257	0.00938492183693328	0.00718515822609184	0.0226128940146917	0.0209430779054945	0.218543627919095	0.00375290938051924	0.359494840487285
sd.Wave	0.0554389255838342	1.89920276267595	0.0164713208344883	0.0125620930677688	0.023508674909966	0.02348799448015	0.098378891731441	0.00382045397187884	0.514392454478978
sd.total	0.250248591875501	3.74520915622344	0.0219833840369711	0.0179506020703385	0.0359049156827099	0.0253739096457591	0.233789340195057	0.00499822616054527	0.782872015000741
