cp Contig Position Type Wave Centre Width slope p_crab p_wave p_diff Var.Ex Fst LG av ref_p_wave ref_p_crab p_waveRaw p_crabRaw HsRaw HtRaw FstRaw invRui sel selFst
Contig100005_1370 Contig100005 1370 Cline 2 104.086195444212 0.13674986625098 1.76281230088497 0.125005610025332 0.326933507407991 0.201927897382659 7.90906108565201 0.0582806893693714 6 47.4 0.673066492592009 0.874994389974668 0.756410256410256 0.904761904761905 0.270421580861141 0.281425686645467 0.0391012843052537 FALSE FALSE FALSE
Contig100005_1371 Contig100005 1371 Cline 2 104.820058270716 0.113561994150828 2.18706393673015 0.124996198858938 0.326912877837376 0.201916678978438 7.88664737464653 0.0582769562293283 6 47.4 0.673087122162624 0.875003801141062 0.756410256410256 0.904761904761905 0.270421580861141 0.281425686645467 0.0391012843052537 FALSE FALSE FALSE
Contig100005_1374 Contig100005 1374 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.628205128205128 0.94047619047619 0.28954417072549 0.338300778891439 0.144122068904828 FALSE FALSE FALSE
Contig100064_29077 Contig100064 29077 NoCline NA NA NA NA NA NA NA NA NA 17 36 NA NA 0.628205128205128 0.583333333333333 0.476619000657462 0.477625739644971 0.00210779885576628 FALSE FALSE FALSE
Contig10010_32172 Contig10010 32172 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.723684210526316 0.547619047619048 0.447697800265074 0.463197271059855 0.0334619216544964 FALSE FALSE FALSE
Contig10010_32230 Contig10010 32230 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.717948717948718 0.547619047619048 0.450230782648365 0.464736880945672 0.0312135724364919 FALSE FALSE FALSE
Contig10010_32297 Contig10010 32297 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.723684210526316 0.547619047619048 0.447697800265074 0.463197271059855 0.0334619216544964 FALSE FALSE FALSE
Contig100134_20875 Contig100134 20875 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.397435897435897 0.402439024390244 0.479962460903293 0.479974976542953 2.60756086716897e-05 FALSE FALSE FALSE
Contig100134_20941 Contig100134 20941 Cline 2 120.59477802341 0.384199805816651 2.10573355844401 0.264879134017819 0.730826606055379 0.46594747203756 9.28885238718357 0.266821242384027 15 53 0.269173393944621 0.735120865982181 0.615384615384615 0.80952380952381 0.390881401870413 0.409726415220921 0.0459941381625272 FALSE FALSE FALSE
Contig100134_20944 Contig100134 20944 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.58974358974359 0.726190476190476 0.44078395658066 0.450092832991185 0.0206821253932454 FALSE FALSE FALSE
Contig100148_8155 Contig100148 8155 Cline 2 61.4802646769315 0.137222255600556 17.1000603772908 0.0783400038342502 0.397327160144704 0.318987156310454 25.3853852641201 0.140341910248593 1 81 0.602672839855296 0.92165999616575 0.615384615384615 0.94047619047619 0.292667116156128 0.345509382253888 0.152940177059883 LGC1.2 FALSE FALSE
Contig100148_8221 Contig100148 8221 Cline 2 61.2208736629709 0.209026694680778 1.70260819540241 0.07870804344139 0.390122299390041 0.311414255948651 24.6095450357601 0.135094589639184 1 81 0.609877700609959 0.92129195655861 0.644736842105263 0.94047619047619 0.285031972160979 0.32876285324841 0.133016490930585 LGC1.2 FALSE FALSE
Contig100148_8224 Contig100148 8224 Cline 2 53.0131038941284 14.9942026342382 0.0136110065145495 0.65331070635601 0.856964472431998 0.203653766075988 8.09561723357565 0.0560760993882605 1 81 0.143035527568002 0.34668929364399 0.141025641025641 0.333333333333333 0.34335963182117 0.361850756081525 0.0511015216897569 LGC1.2 FALSE FALSE
Contig100169_2489 Contig100169 2489 Cline 2 49.7806840038949 15.228087459263 0.0189395758163879 0.364020062034466 0.652232593019114 0.288212530984648 13.4112944560113 0.0830940018990282 12 29.6 0.347767406980886 0.635979937965534 0.307692307692308 0.619047619047619 0.448845415878383 0.497316480832964 0.0974652295323014 FALSE FALSE FALSE
Contig100169_2518 Contig100169 2518 Cline 2 47.5433243311608 8.92887946339575 0.0444741241258292 0.228222638883454 0.624558859035892 0.396336220152438 24.1452036324977 0.16056372300571 12 29.6 0.375441140964108 0.771777361116546 0.320512820512821 0.738095238095238 0.411095009996109 0.498282547733097 0.174976101678941 FALSE FALSE FALSE
