cp Contig Position Type Wave Centre Width slope p_crab p_wave p_diff Var.Ex Fst LG av ref_p_wave ref_p_crab p_waveRaw p_crabRaw HsRaw HtRaw FstRaw invRui sel selFst
Contig100005_1370 Contig100005 1370 Cline 2 45.4337286867176 14.5465092602534 0.0118543546507431 0.0785588356260653 0.249760083417099 0.171201247791034 5.20733482232718 0.0534173219638802 6 47.4 0.750239916582901 0.921441164373935 0.764044943820225 0.9193548 0.254421819359934 0.266482395073225 0.0452584333384466 FALSE FALSE FALSE
Contig100005_1371 Contig100005 1371 Cline 2 47.1333566166512 9.00242757020087 0.846282356159883 0.0836402299012037 0.250619390332398 0.166979160431194 5.50767691292341 0.0501439443369557 6 47.4 0.749380609667602 0.916359770098796 0.764044943820225 0.9193548 0.254421819359934 0.266482395073225 0.0452584333384466 FALSE FALSE FALSE
Contig100005_1374 Contig100005 1374 Cline 2 49.0971940380432 36.0010964284479 0.00622565279493792 4.53978687024344e-05 0.224143893518227 0.224098495649525 4.82225627905682 0.126143961243399 6 47.4 0.775856106481773 0.999954602131298 0.769662921348315 1 0.177281908849892 0.203809493750789 0.13015873015873 FALSE FALSE FALSE
Contig100064_29077 Contig100064 29077 NoCline NA NA NA NA NA NA NA NA NA 17 36 NA NA 0.744444444444444 0.7419355 0.381714127419997 0.38171727482111 8.2453724792905e-06 FALSE FALSE FALSE
Contig10010_32172 Contig10010 32172 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.595505617977528 0.6290323 0.47422934249144 0.474791361695158 0.00118371825829228 FALSE FALSE FALSE
Contig10010_32230 Contig10010 32230 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.588888888888889 0.6290323 0.475449430988809 0.476255177716627 0.00169183825293176 FALSE FALSE FALSE
Contig10010_32297 Contig10010 32297 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.588888888888889 0.6290323 0.475449430988809 0.476255177716627 0.00169183825293176 FALSE FALSE FALSE
Contig100134_20875 Contig100134 20875 Cline 1 84.0083087107152 23.8441605922821 0.00931545389919762 0.365193207866597 0.587102324530504 0.221909116663907 5.96958159731937 0.049356080073524 15 53 0.587102324530504 0.365193207866597 0.555555555555556 0.3709677 0.480264245803624 0.497300584012923 0.0342576275938109 FALSE FALSE FALSE
Contig100134_20941 Contig100134 20941 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.816666666666667 0.8387097 0.284997961348132 0.285240909007399 0.000851727966064249 FALSE FALSE FALSE
Contig100134_20944 Contig100134 20944 Cline 1 111.032944720647 10.4301625447398 0.0706142459225798 0.739224388816444 0.95708322194653 0.217858833130086 5.91824633509294 0.0970471500802794 15 53 0.95708322194653 0.739224388816444 0.805555555555556 0.7903226 0.322348590398376 0.322464611865854 0.000359795968951189 FALSE FALSE FALSE
Contig100148_8155 Contig100148 8155 NoCline NA NA NA NA NA NA NA NA NA 1 81 NA NA 0.811111111111111 0.9193548 0.22735142826017 0.233209776352307 0.0251205081698085 LGC1.2 FALSE FALSE
Contig100148_8221 Contig100148 8221 NoCline NA NA NA NA NA NA NA NA NA 1 81 NA NA 0.794444444444444 0.9193548 0.237444020852763 0.24524531931527 0.0318101828988586 LGC1.2 FALSE FALSE
Contig100148_8224 Contig100148 8224 Cline 2 26.5382543084012 126 0.00514670097168896 0.310552501915333 0.959036824348143 0.64848432243281 16.7697411334495 0.453780002485831 1 81 0.0409631756518569 0.689447498084667 0.105555555555556 0.4032258 0.335048334461274 0.379352121675081 0.116788030651254 LGC1.2 FALSE FALSE
Contig100169_2489 Contig100169 2489 Cline 2 38.5532242326279 20.8546798121169 0.0167737960653866 0.364008305108962 0.713752630756785 0.349744325647823 11.9759273197115 0.123067608394946 12 29.6 0.286247369243215 0.635991694891038 0.277777777777778 0.6129032 0.437870151380377 0.494024675690189 0.113667448354395 FALSE FALSE FALSE
Contig100169_2518 Contig100169 2518 Cline 2 38.2677300660318 21.8885784480626 0.0205209677579605 0.22556287047532 0.674578766489589 0.449015896014269 16.7505481256785 0.203654515193407 12 29.6 0.325421233510411 0.77443712952468 0.305555555555556 0.7419355 0.403658571864442 0.49887229982111 0.19085791692746 FALSE FALSE FALSE
Contig100209_14094 Contig100209 14094 NoCline NA NA NA NA NA NA NA NA NA 12 29.6 NA NA 0.655555555555556 0.6612903 0.449787908261712 0.449804351908634 3.65573317638534e-05 FALSE FALSE FALSE
Contig1003_21108 Contig1003 21108 NoCline NA NA NA NA NA NA NA NA NA 4 10.6 NA NA 0.837078651685393 0.8548387 0.260467479560268 0.260625189218336 0.000605120550863124 FALSE FALSE FALSE
Contig100348_16492 Contig100348 16492 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.453488372093023 0.4 0.487836668469443 0.489267171444024 0.00292376651872803 LGC10.2 FALSE FALSE
Contig100348_16610 Contig100348 16610 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.472222222222222 0.3064516 0.461767411919168 0.47550736151514 0.0288953457044091 LGC10.2 FALSE FALSE
Contig100348_16613 Contig100348 16613 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.472222222222222 0.3064516 0.461767411919168 0.47550736151514 0.0288953457044091 LGC10.2 FALSE FALSE
