pC1992 pC0000 pW0000 pS2005 pS2018 pS2021 cp
0.854166666666667 0.795081967213115 0.811881188118812 0.934210526315789 0.807692307692308 0.77 Contig104_63408
0.38 0.330645161290323 0.205882352941176 0.526315789473684 0.423076923076923 0.450980392156863 Contig104_65970
0.804347826086957 0.729166666666667 0.596774193548387 0.810810810810811 0.882352941176471 0.768292682926829 Contig107_106346
0.0952380952380952 0.0512820512820513 0.106382978723404 0 0.0294117647058824 0.0227272727272727 Contig113_58331
0.375 0.409836065573771 0.0940594059405941 0.302631578947368 0.173076923076923 0.13265306122449 Contig207_2594
0.0952380952380952 0.13716814159292 0.223958333333333 0.25 0.21875 0.25 Contig315_106358
0.2 0.204 0.240384615384615 0.236842105263158 0.307692307692308 0.313725490196078 Contig381_6522
0.458333333333333 0.483471074380165 0.44 0.289473684210526 0.259615384615385 0.313725490196078 Contig418_86734
0.1 0.142857142857143 0.13 0.421052631578947 0.384615384615385 0.333333333333333 Contig441_107025
0.02 0.0158730158730159 0.0679611650485437 0.236842105263158 0.163461538461538 0.186274509803922 Contig508_48212
0.270833333333333 0.247899159663866 0.21195652173913 0.355263157894737 0.362745098039216 0.378378378378378 Contig577_243783
0.409090909090909 0.443478260869565 0.280898876404494 0.310810810810811 0.144230769230769 0.0638297872340425 Contig594_73160
0.25 0.147540983606557 0.255 0.0921052631578947 0.147058823529412 0.197916666666667 Contig743_25977
0.25 0.229508196721311 0.244897959183673 0.381578947368421 0.317307692307692 0.393617021276596 Contig808_45928
0.0434782608695652 0.0619834710743802 0.0520833333333333 0 0 0 Contig1069_129968
0.08 0.0950413223140496 0.095959595959596 0.236842105263158 0.166666666666667 0.15625 Contig1073_86733
0.270833333333333 0.270491803278689 0.782828282828283 0.472972972972973 0.46078431372549 0.571428571428571 Contig1114_5001
0.0208333333333333 0.0614754098360656 0.0101010101010101 0.0394736842105263 0.0576923076923077 0.09375 Contig1185_32514
0.3 0.334677419354839 0.435643564356436 0.394736842105263 0.375 0.291666666666667 Contig1754_34858
0.58 0.560483870967742 0.495049504950495 0.289473684210526 0.355769230769231 0.411764705882353 Contig1808_64936
0 0.02 0.01 0 0.00961538461538462 0.0102040816326531 Contig1822_74629
0.145833333333333 0.2 0.215686274509804 0.0789473684210526 0.153846153846154 0.137254901960784 Contig2087_27664
0.0625 0.0833333333333333 0.106382978723404 0.0263157894736842 0.0490196078431373 0.0113636363636364 Contig2094_128306
0.270833333333333 0.394308943089431 0.671717171717172 0.5 0.637254901960784 0.64 Contig2357_107294
0.25 0.201754385964912 0.06 0.296875 0.244897959183673 0.179487179487179 Contig2673_6032
0.06 0.046875 0.183168316831683 0.407894736842105 0.182692307692308 0.294117647058824 Contig2697_108147
0.0416666666666667 0.0371900826446281 0.0520833333333333 0.171428571428571 0.0714285714285714 0.108695652173913 Contig2822_10797
0.166666666666667 0.118852459016393 0.145 0.243243243243243 0.163461538461538 0.137254901960784 Contig2822_17429
0.26 0.257936507936508 0.267326732673267 0.355263157894737 0.451923076923077 0.450980392156863 Contig2848_19073
0.2 0.146341463414634 0.0742574257425743 0 0 0.02 Contig2926_52759
0.0625 0.0737704918032787 0.0306122448979592 0.0921052631578947 0.0490196078431373 0.03125 Contig3222_64356
0.18 0.178571428571429 0.0825242718446602 0.105263157894737 0.0673076923076923 0.0784313725490196 Contig3229_71802
0.104166666666667 0.120967741935484 0.308823529411765 0.131578947368421 0.240384615384615 0.24 Contig3229_97688
0.36 0.332 0.133663366336634 0.421052631578947 0.432692307692308 0.326530612244898 Contig3562_74841
0.94 0.905737704918033 0.969072164948454 1 0.990384615384615 1 Contig3632_52837
0.94 0.92741935483871 0.916666666666667 0.934210526315789 0.875 0.941176470588235 Contig3667_70256
0.479166666666667 0.417355371900826 0.224489795918367 0.0263157894736842 0.0384615384615385 0.0957446808510638 Contig3754_57873
0.3125 0.282786885245902 0.102040816326531 0.0921052631578947 0.0865384615384615 0.1 Contig3781_44387
0.145833333333333 0.122950819672131 0.135416666666667 0.105263157894737 0.0686274509803922 0.0652173913043478 Contig3836_58788
0 0.0299145299145299 0.186746987951807 0.0526315789473684 0.0294117647058824 0.0104166666666667 Contig3873_30213
0.08 0.0846774193548387 0.236559139784946 0.118421052631579 0.0769230769230769 0.0729166666666667 Contig3873_45822
0.36 0.508064516129032 0.495049504950495 0.565789473684211 0.519230769230769 0.530612244897959 Contig4014_17676
0.1875 0.176470588235294 0.237113402061856 0.184210526315789 0.147058823529412 0.106382978723404 Contig4014_67692
0.318181818181818 0.264957264957265 0.170212765957447 0.407894736842105 0.387755102040816 0.282051282051282 Contig4238_5890
0.5 0.597560975609756 0.42 0.710526315789474 0.8 0.73469387755102 Contig4420_53135
0.16 0.186507936507937 0.558252427184466 0.0789473684210526 0.105769230769231 0.127450980392157 Contig4528_59090
0.04 0.0403225806451613 0.0969387755102041 0.0131578947368421 0.0865384615384615 0.0408163265306122 Contig4571_93636
0.02 0.0121951219512195 0.025 0 0.0288461538461538 0.0294117647058824 Contig4826_33331
0.08 0.128 0.196078431372549 0 0 0.01 Contig4877_46027
0.62 0.739837398373984 0.448979591836735 0.565789473684211 0.5 0.579545454545455 Contig4995_16742
0.0416666666666667 0.0517241379310345 0.0315789473684211 0.0882352941176471 0.163265306122449 0.173913043478261 Contig5280_74141
0.2 0.246031746031746 0.514423076923077 0.486842105263158 0.451923076923077 0.509803921568627 Contig5373_52197
0.12 0.1953125 0.223300970873786 0.289473684210526 0.278846153846154 0.284313725490196 Contig5607_118611
0.369565217391304 0.285123966942149 0.43 0.197368421052632 0.278846153846154 0.33695652173913 Contig5673_46496
0.395833333333333 0.430327868852459 0.484210526315789 0.381578947368421 0.352941176470588 0.290697674418605 Contig6149_34224
0.1875 0.204 0.225490196078431 0.0921052631578947 0.0673076923076923 0.0490196078431373 Contig6153_12545
0.0833333333333333 0.0443548387096774 0.168316831683168 0 0 0 Contig6300_43560
0.666666666666667 0.672131147540984 0.686274509803922 0.802631578947368 0.721153846153846 0.715686274509804 Contig6305_34818
0.94 0.935483870967742 0.859223300970874 1 0.913461538461538 0.92 Contig6309_26570
0.565217391304348 0.51271186440678 0.55050505050505 0.671052631578947 0.598039215686274 0.545454545454545 Contig6449_73249
0.708333333333333 0.672 0.663366336633663 0.776315789473684 0.692307692307692 0.705882352941177 Contig6506_20491
0.66 0.689516129032258 0.806930693069307 0.776315789473684 0.701923076923077 0.705882352941177 Contig6581_2087
0.06 0.064 0.0833333333333333 0.0131578947368421 0 0 Contig6638_2279
0.291666666666667 0.389380530973451 0.573684210526316 0.513157894736842 0.745098039215686 0.647727272727273 Contig6939_55537
0.708333333333333 0.692622950819672 0.75 0.592105263157895 0.764705882352941 0.755555555555556 Contig6996_56740
0.68 0.746031746031746 0.96078431372549 0.815789473684211 0.817307692307692 0.798076923076923 Contig7072_58643
0.26 0.209016393442623 0.190721649484536 0.148648648648649 0.0769230769230769 0.13265306122449 Contig7247_52306
0.347826086956522 0.298319327731092 0.270114942528736 0.236842105263158 0.255102040816327 0.321428571428571 Contig7642_16173
0.54 0.479674796747967 0.125 0.276315789473684 0.25 0.24468085106383 Contig7659_7740
0.06 0.0887096774193548 0.205 0 0 0 Contig8469_1522
0.0208333333333333 0.0365853658536585 0.0555555555555556 0.0263157894736842 0.0882352941176471 0.0612244897959184 Contig8476_99991
0.1875 0.176229508196721 0.107843137254902 0.197368421052632 0.288461538461538 0.28 Contig9060_64170
0.68 0.653225806451613 0.589108910891089 0.72972972972973 0.653846153846154 0.71875 Contig9095_42510
