contig	LG	av
Contig51009	1	0.657
Contig375626	1	0.7726
Contig50299	1	0.827571429
Contig48395	1	0.896944444
Contig70326	1	0.923625
Contig102001	1	0.9655
Contig10416	1	0.9655
Contig10439	1	0.9655
Contig104492	1	0.9655
Contig105140	1	0.9655
Contig105487	1	0.9655
Contig10588	1	0.9655
Contig106414	1	0.9655
Contig107839	1	0.9655
Contig10845	1	0.9655
Contig109186	1	0.9655
Contig110798	1	0.9655
Contig111018	1	0.9655
Contig111447	1	0.9655
Contig112090	1	0.9655
Contig112298	1	0.9655
Contig11346	1	0.9655
Contig113922	1	0.9655
Contig116534	1	0.9655
Contig118149	1	0.9655
Contig120690	1	0.9655
Contig12214	1	0.9655
Contig122150	1	0.9655
Contig122307	1	0.9655
Contig12406	1	0.9655
Contig124290	1	0.9655
Contig12701	1	0.9655
Contig127776	1	0.9655
Contig127868	1	0.9655
Contig128777	1	0.9655
Contig129525	1	0.9655
Contig1296	1	0.9655
Contig130056	1	0.9655
Contig131972	1	0.9655
Contig134678	1	0.9655
Contig134723	1	0.9655
Contig135566	1	0.9655
Contig137720	1	0.9655
Contig13842	1	0.9655
Contig141545	1	0.9655
Contig14248	1	0.9655
Contig142675	1	0.9655
Contig144952	1	0.9655
Contig145	1	0.9655
Contig14673	1	0.9655
Contig152269	1	0.9655
Contig153953	1	0.9655
Contig15481	1	0.9655
Contig157565	1	0.9655
Contig157715	1	0.9655
Contig160474	1	0.9655
Contig161745	1	0.9655
Contig165035	1	0.9655
Contig167018	1	0.9655
Contig169072	1	0.9655
Contig172078	1	0.9655
Contig172893	1	0.9655
Contig173369	1	0.9655
Contig174042	1	0.9655
Contig174877	1	0.9655
Contig174922	1	0.9655
Contig175689	1	0.9655
Contig17582	1	0.9655
Contig179543	1	0.9655
Contig181326	1	0.9655
Contig18307	1	0.9655
Contig184346	1	0.9655
Contig187679	1	0.9655
Contig191206	1	0.9655
Contig192158	1	0.9655
Contig194594	1	0.9655
Contig194775	1	0.9655
Contig1962	1	0.9655
Contig205469	1	0.9655
Contig215584	1	0.9655
Contig219436	1	0.9655
Contig220127	1	0.9655
Contig2225	1	0.9655
Contig222854	1	0.9655
Contig224705	1	0.9655
Contig237519	1	0.9655
Contig243479	1	0.9655
Contig24859	1	0.9655
Contig255783	1	0.9655
Contig265229	1	0.9655
Contig270668	1	0.9655
Contig274182	1	0.9655
Contig280	1	0.9655
Contig285457	1	0.9655
Contig287	1	0.9655
Contig303322	1	0.9655
Contig3057	1	0.9655
Contig3073	1	0.9655
Contig3088	1	0.9655
Contig3124	1	0.9655
Contig3157	1	0.9655
Contig3164	1	0.9655
Contig323543	1	0.9655
Contig3381	1	0.9655
Contig338636	1	0.9655
Contig339828	1	0.9655
Contig345108	1	0.9655
Contig35535	1	0.9655
Contig357403	1	0.9655
Contig3576	1	0.9655
Contig38066	1	0.9655
Contig381275	1	0.9655
Contig38152	1	0.9655
Contig38316	1	0.9655
Contig383759	1	0.9655
Contig38603	1	0.9655
Contig38998	1	0.9655
Contig39221	1	0.9655
Contig39268	1	0.9655
Contig39351	1	0.9655
Contig39352	1	0.9655
Contig3973	1	0.9655
Contig39799	1	0.9655
Contig39903	1	0.9655
Contig39945	1	0.9655
Contig40120	1	0.9655
Contig40299	1	0.9655
Contig40400	1	0.9655
Contig41206	1	0.9655
Contig41306	1	0.9655
Contig41317	1	0.9655
Contig41478	1	0.9655
Contig4167	1	0.9655
Contig42082	1	0.9655
Contig42233	1	0.9655
Contig42644	1	0.9655
Contig42757	1	0.9655
Contig42886	1	0.9655
Contig43347	1	0.9655
Contig43560	1	0.9655
Contig44205	1	0.9655
Contig44289	1	0.9655
Contig44380	1	0.9655
Contig44868	1	0.9655
Contig44869	1	0.9655
Contig4547	1	0.9655
Contig45563	1	0.9655
Contig45690	1	0.9655
Contig45847	1	0.9655
Contig45873	1	0.9655
Contig46161	1	0.9655
Contig46441	1	0.9655
Contig47236	1	0.9655
Contig47386	1	0.9655
Contig47405	1	0.9655
Contig47574	1	0.9655
Contig47833	1	0.9655
Contig47946	1	0.9655
Contig47972	1	0.9655
Contig48203	1	0.9655
Contig48223	1	0.9655
Contig48338	1	0.9655
Contig48676	1	0.9655
Contig48719	1	0.9655
Contig48930	1	0.9655
Contig49139	1	0.9655
Contig49235	1	0.9655
Contig50931	1	0.9655
Contig51537	1	0.9655
Contig51613	1	0.9655
Contig52243	1	0.9655
Contig52395	1	0.9655
Contig52416	1	0.9655
Contig52504	1	0.9655
Contig5258	1	0.9655
Contig53143	1	0.9655
Contig53913	1	0.9655
Contig5407	1	0.9655
Contig54111	1	0.9655
Contig54302	1	0.9655
Contig54460	1	0.9655
Contig5447	1	0.9655
Contig54647	1	0.9655
Contig54795	1	0.9655
Contig5508	1	0.9655
Contig55080	1	0.9655
Contig55422	1	0.9655
Contig55551	1	0.9655
Contig55820	1	0.9655
