cp Contig Position Type Wave Centre Width slope p_crab p_wave p_diff Var.Ex Fst LG av ref_p_wave ref_p_crab p_waveRaw p_crabRaw HsRaw HtRaw FstRaw invRui sel selFst
Contig100005_1370 Contig100005 1370 Cline 2 64.6696783596167 27.2227558307242 0.00631028217664041 0.15489426085512 0.326203473557955 0.171309212702835 5.48789016220052 0.0401612658719715 6 47.4 0.673796526442045 0.84510573914488 0.666666666666667 0.82843137254902 0.364355055747789 0.377438965782391 0.0346649689638709 FALSE FALSE FALSE
Contig100005_1371 Contig100005 1371 Cline 2 64.7577371493258 27.6685518300069 0.00622384367759162 0.154578955616171 0.326687312473659 0.172108356857488 5.41351863359537 0.0405267520597867 6 47.4 0.673312687526341 0.845421044383829 0.666666666666667 0.82843137254902 0.364355055747789 0.377438965782391 0.0346649689638709 FALSE FALSE FALSE
Contig100005_1374 Contig100005 1374 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.888888888888889 0.905940594059406 0.183977666193462 0.184123046518073 0.000789582441526928 FALSE FALSE FALSE
Contig100064_29077 Contig100064 29077 NoCline NA NA NA NA NA NA NA NA NA 17 36 NA NA 0.733333333333333 0.776595744680851 0.369050349580001 0.369986167697802 0.00252933271431198 FALSE FALSE FALSE
Contig10010_32172 Contig10010 32172 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.607142857142857 0.612359550561798 0.475895739560816 0.47590934650593 2.85914643481966e-05 FALSE FALSE FALSE
Contig10010_32230 Contig10010 32230 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.588235294117647 0.573529411764706 0.486807958477509 0.486916089965398 0.000222074172773525 FALSE FALSE FALSE
Contig10010_32297 Contig10010 32297 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.571428571428571 0.581521739130435 0.488252165232823 0.488303101249952 0.000104312294963069 FALSE FALSE FALSE
Contig100134_20875 Contig100134 20875 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.444444444444444 0.62621359223301 0.480983709382553 0.497503720926444 0.0332058050000659 FALSE FALSE FALSE
Contig100134_20941 Contig100134 20941 Cline 2 66.8911322430845 0.0615382564900943 7.49849410703994 0.0585050336103601 0.191127111323391 0.132622077713031 7.49426410681417 0.0402548068584859 15 53 0.808872888676609 0.94149496638964 0.722222222222222 0.941747572815534 0.255476365862202 0.27957205563876 0.086187761940316 FALSE FALSE FALSE
Contig100134_20944 Contig100134 20944 Cline 2 66.6019129580896 0.205237252101417 0.91628978158799 0.0668636722559002 0.19585192024769 0.12898824799179 7.31271009857227 0.0364555624706854 15 53 0.80414807975231 0.9331363277441 0.722222222222222 0.931372549019608 0.264535007902943 0.28640693750267 0.0763666194347083 FALSE FALSE FALSE
Contig100148_8155 Contig100148 8155 Cline 2 101.33631828757 57.3149184688988 0.00296315032358833 0.0932997809251639 0.263048024883614 0.16974824395845 4.00691706316626 0.0491960941095455 1 81 0.736951975116386 0.906700219074836 0.78125 0.921875 0.242919921875 0.2528076171875 0.0391115403186866 LGC1.2 FALSE FALSE
Contig100148_8221 Contig100148 8221 Cline 2 55.3140321324718 0.104076525268503 1.1480143867585 0.137641476439707 0.256726019423555 0.119084542983849 3.89352708647594 0.0223969392285411 1 81 0.743273980576445 0.862358523560294 0.705882352941177 0.860576923076923 0.327596739291783 0.339561944306525 0.0352371790047843 LGC1.2 FALSE FALSE
Contig100148_8224 Contig100148 8224 Cline 2 73.9820318018799 14.6956517154057 0.0132658744837833 0.646988132441896 0.841836660133666 0.19484852769177 8.51482199855363 0.0498867378762922 1 81 0.158163339866334 0.353011867558104 0.0588235294117647 0.339805825242718 0.279701148173141 0.319176673458358 0.123679230244145 LGC1.2 FALSE FALSE
Contig100169_2489 Contig100169 2489 Cline 2 62.2473087443164 2.76555883446891 0.0954589826876438 0.387119602488369 0.626395116155233 0.239275513666864 9.86636197645446 0.0572632773958312 12 29.6 0.373604883844767 0.612880397511631 0.416666666666667 0.614285714285714 0.47999433106576 0.499520975056689 0.0390907388597918 FALSE FALSE FALSE
Contig100169_2518 Contig100169 2518 Cline 2 59.7265469569582 13.8293633103062 0.0387576386341409 0.0620434862342037 0.597594943277615 0.535551457043412 44.0021273675184 0.324395986473964 12 29.6 0.402405056722385 0.937956513765796 0.5 0.932692307692308 0.312777366863905 0.406388683431953 0.230349220793994 FALSE FALSE FALSE
Contig100209_14094 Contig100209 14094 NoCline NA NA NA NA NA NA NA NA NA 12 29.6 NA NA 0.388888888888889 0.352380952380952 0.4658629377677 0.466529352481733 0.0014284518444311 FALSE FALSE FALSE
