cp Contig Position Type Wave Centre Width slope p_crab p_wave p_diff Var.Ex Fst LG av ref_p_wave ref_p_crab p_waveRaw p_crabRaw HsRaw HtRaw FstRaw invRui sel selFst
Contig100005_1370 Contig100005 1370 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.723684210526316 0.771739130434783 0.376123218951767 0.377277856615471 0.0030604437643459 FALSE FALSE FALSE
Contig100005_1371 Contig100005 1371 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.723684210526316 0.771739130434783 0.376123218951767 0.377277856615471 0.0030604437643459 FALSE FALSE FALSE
Contig100005_1374 Contig100005 1374 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.776315789473684 0.815217391304348 0.324287580706816 0.325044248019312 0.00232789017835762 FALSE FALSE FALSE
Contig100064_29077 Contig100064 29077 NoCline NA NA NA NA NA NA NA NA NA 17 36 NA NA 0.681818181818182 0.782051282051282 0.387389223053559 0.392412560244728 0.0128011631127111 FALSE FALSE FALSE
Contig10010_32172 Contig10010 32172 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.647058823529412 0.615384615384615 0.46506009295469 0.46556172068549 0.001077467730941 FALSE FALSE FALSE
Contig10010_32230 Contig10010 32230 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.631578947368421 0.590909090909091 0.474422517799501 0.475249536411712 0.00174017763058855 FALSE FALSE FALSE
Contig10010_32297 Contig10010 32297 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.625 0.597560975609756 0.474856856038073 0.475233306067817 0.0007921373037994 FALSE FALSE FALSE
Contig100134_20875 Contig100134 20875 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.447368421052632 0.630434782608696 0.480216684383329 0.496973330750017 0.0337173955419281 FALSE FALSE FALSE
Contig100134_20941 Contig100134 20941 Cline 2 80.7364849140146 97.1134561495548 0.00269447869518405 4.53978687024344e-05 0.261711225166575 0.261665827297872 10.8818101547101 0.150482564282877 15 53 0.738288774833425 0.999954602131298 0.763157894736842 0.977272727272727 0.202958666239326 0.225881246995261 0.101480672082601 FALSE FALSE FALSE
Contig100134_20944 Contig100134 20944 Cline 2 76.408784538121 86.1385522069484 0.00312911123400715 4.53978687024344e-05 0.269579205663707 0.269533807795005 11.7959160481601 0.155713732436609 15 53 0.730420794336293 0.999954602131298 0.736842105263158 0.976744186046512 0.216620798245364 0.245397302427455 0.117264957264958 FALSE FALSE FALSE
Contig100148_8155 Contig100148 8155 Cline 2 83.0722790195815 25.2333920421085 0.474316948076498 0.0674558310878706 0.229381540349756 0.161925709261885 10.2528039619997 0.0519884595270978 1 81 0.770618459650244 0.932544168912129 0.765625 0.926829268292683 0.247260135103733 0.260253543161623 0.0499259602772075 LGC1.2 FALSE FALSE
Contig100148_8221 Contig100148 8221 Cline 2 60.1190007159488 2.89031311432188 0.645750319771069 0.125905174871615 0.368617959810197 0.242712784938582 14.3760021363117 0.0791286669180233 1 81 0.631382040189803 0.874094825128385 0.583333333333333 0.863636363636364 0.360824150596878 0.400109044995409 0.0981854694111745 LGC1.2 FALSE FALSE
Contig100148_8224 Contig100148 8224 Cline 2 52.7471314766527 0.129303936983794 3.0282220359569 0.554357369706723 0.861563240925799 0.307205871219077 23.5621504931415 0.114116446941839 1 81 0.138436759074201 0.445642630293277 0.125 0.431818181818182 0.354726239669422 0.401794938016529 0.117146071026836 LGC1.2 FALSE FALSE
Contig100169_2489 Contig100169 2489 Cline 2 18.0011540277285 103.160095276966 0.00709544126464045 4.53978687024344e-05 0.731962221359328 0.731916823490626 14.4009295841721 0.577155455823155 12 29.6 0.268037778640672 0.999954602131298 0.263157894736842 0.58695652173913 0.436344380501547 0.488767155925831 0.107255110718279 FALSE FALSE FALSE
Contig100169_2518 Contig100169 2518 Cline 2 59.9724293512189 12.2424058131708 0.0471035448524654 0.0651500077180164 0.641806110403857 0.576656102685841 44.9472229507304 0.363771661882497 12 29.6 0.358193889596143 0.934849992281984 0.337837837837838 0.933333333333333 0.285925655385115 0.463233097962828 0.382760738292368 FALSE FALSE FALSE
Contig100209_14094 Contig100209 14094 NoCline NA NA NA NA NA NA NA NA NA 12 29.6 NA NA 0.434210526315789 0.391304347826087 0.483857000350842 0.484777470427137 0.00189874763669207 FALSE FALSE FALSE
Contig1003_21108 Contig1003 21108 NoCline NA NA NA NA NA NA NA NA NA 4 10.6 NA NA 0.763157894736842 0.777777777777778 0.353587428610513 0.353694299100578 0.000302154969240578 FALSE FALSE FALSE
Contig100348_16492 Contig100348 16492 Cline 2 70.9479824438517 23.0604562322837 0.0201968970173819 0.105300660420028 0.571031613238081 0.465730952818053 33.7910046192606 0.242288962497736 10 41.6 0.428968386761919 0.894699339579972 0.387096774193548 0.905405405405405 0.322899318870576 0.457221237464931 0.293778826502251 LGC10.2 FALSE FALSE
Contig100348_16610 Contig100348 16610 Cline 2 68.4246288643565 20.1154988968467 0.0155270080245515 0.224889982047616 0.537213666076701 0.312323684029085 17.6543517772002 0.103398007880743 10 41.6 0.462786333923299 0.775110017952384 0.5 0.790697674418605 0.415494862087615 0.457747431043807 0.0923054201742728 LGC10.2 FALSE FALSE
Contig100348_16613 Contig100348 16613 Cline 2 68.5641764953707 19.9977035002012 0.0156004528399443 0.225401298645443 0.537357319109856 0.311956020464412 17.9584487749936 0.103120752568615 10 41.6 0.462642680890144 0.774598701354557 0.5 0.790697674418605 0.415494862087615 0.457747431043807 0.0923054201742728 LGC10.2 FALSE FALSE
Contig100506_3872 Contig100506 3872 NoCline NA NA NA NA NA NA NA NA NA 11 52.9 NA NA 0.823529411764706 0.782051282051282 0.315775794016411 0.316636011638673 0.00271673969682079 LGC11.1 FALSE FALSE
Contig100520_389 Contig100520 389 Cline 2 76.4116945895508 127.037600397787 0.00431116873093885 0.452276014572349 0.999952196821519 0.54767618224917 17.4002995465499 0.377063389561053 7 2.7 4.78031784808541e-05 0.547723985427651 0.1 0.476190476190476 0.339433106575964 0.410192743764172 0.172503385942121 FALSE FALSE FALSE
Contig100520_454 Contig100520 454 Cline 2 74.5961746374264 129.678873166774 0.00431867426314295 0.439814066226337 0.999839206362347 0.56002514013601 15.9657136343189 0.388784052580733 7 2.7 0.000160793637652867 0.560185933773663 0.121621621621622 0.5 0.356829802775749 0.428414901387875 0.167092924126172 FALSE FALSE FALSE
Contig100590_12179 Contig100590 12179 NoCline NA NA NA NA NA NA NA NA NA 3 18.4 NA NA 0.864864864864865 0.888888888888889 0.215639062485909 0.215927639351063 0.00133645172068155 FALSE FALSE FALSE
Contig100708_597 Contig100708 597 Cline 2 56.1102825759192 0.112304969737285 11.3487520981653 0.527895092323526 0.735714759122558 0.207819666799032 8.86818510802248 0.046427618310555 7 15.3 0.264285240877442 0.472104907676474 0.242424242424242 0.453125 0.431457463484274 0.453654868105773 0.0489301585458213 FALSE FALSE FALSE
Contig100715_3245 Contig100715 3245 Cline 2 75.7182559456561 0.710999293242124 0.799390426158768 0.343927579388764 0.803007356287781 0.459079776899017 34.035366314588 0.215410300531128 2 48.8 0.196992643712219 0.656072420611236 0.242424242424242 0.636363636363636 0.41505968778696 0.492653810835629 0.157502329916123 FALSE FALSE FALSE
Contig100728_1086 Contig100728 1086 Cline 1 73.9370712681895 0.102788674057959 13.7570350675414 0.69835882811902 0.953316165108414 0.254957336989394 13.8329111315288 0.112986298477457 4 43 0.953316165108414 0.69835882811902 0.971428571428571 0.684210526315789 0.243821584035277 0.285068686754481 0.144691804592093 FALSE FALSE FALSE
Contig100728_1166 Contig100728 1166 Cline 1 77.9804267028559 0.00673794699908547 36.8407942293899 0.57356270545248 0.821794024374323 0.248231318921843 10.531513474543 0.0730346033340384 4 43 0.821794024374323 0.57356270545248 0.837837837837838 0.544444444444444 0.383890286683079 0.426930128326525 0.100812378391173 FALSE FALSE FALSE
Contig100728_1231 Contig100728 1231 Cline 1 78.9770134903545 0.017835390127054 26.7727312381041 0.585976252408934 0.835565338578191 0.249589086169257 11.3299957109616 0.0757564253304612 4 43 0.835565338578191 0.585976252408934 0.861111111111111 0.524390243902439 0.369003881434478 0.425694352641358 0.133171771847866 FALSE FALSE FALSE
Contig100815_28289 Contig100815 28289 Cline 2 134.120335944321 0.477083528739068 0.623504713075345 0.4787965681664 0.765294559812129 0.286497991645728 7.63030585101161 0.087281509283651 7 12.6 0.234705440187871 0.5212034318336 0.472972972972973 0.488636363636364 0.499140407578675 0.499263078482212 0.000245703936109077 FALSE FALSE FALSE
Contig100815_28321 Contig100815 28321 NoCline NA NA NA NA NA NA NA NA NA 7 12.6 NA NA 0.716216216216216 0.522222222222222 0.452756720684649 0.47157355553752 0.039902226560229 FALSE FALSE FALSE
Contig100825_5610 Contig100825 5610 Cline 2 78.191088095085 0.0961601142088362 3.68007629072186 0.0955918867376496 0.365674840610986 0.270082953873336 14.7597263023847 0.102772962750915 2 0.6 0.634325159389014 0.90440811326235 0.689189189189189 0.892857142857143 0.30987071600006 0.330611033675705 0.0627332894642288 LGC2.1 FALSE FALSE
Contig100825_5738 Contig100825 5738 Cline 1 66.9990446509419 15.6802451883487 0.0306911782098858 0.148544343262606 0.629494589918377 0.480950246655771 32.7833249157236 0.243300104548262 2 0.6 0.629494589918377 0.148544343262606 0.632352941176471 0.147727272727273 0.358386624581773 0.475817643841689 0.246798370719912 LGC2.1 FALSE FALSE
Contig100825_5786 Contig100825 5786 Cline 1 78.3146151043005 0.0479673334086264 15.9832917093288 0.0810126330516145 0.350522611516414 0.269509978464799 16.1024768262974 0.107314564086564 2 0.6 0.350522611516414 0.0810126330516145 0.290322580645161 0.0813953488372093 0.280805525837573 0.30263081993304 0.072118543974787 LGC2.1 FALSE FALSE
Contig100851_16087 Contig100851 16087 Cline 2 72.1707773368267 0.0816649439329721 2.73065346135192 0.0491816157419748 0.196147148181178 0.146965532439203 9.09220836421765 0.0501749279227104 8 46.2 0.803852851818822 0.950818384258025 0.819444444444444 0.954545454545455 0.191343676665646 0.200469818130803 0.0455237678681491 FALSE FALSE FALSE
Contig100885_13255 Contig100885 13255 Cline 1 76.4236006855007 19.4580624779819 0.0139693074679982 0.631004892678562 0.902424476381848 0.271419583703286 16.3181708184552 0.102967950935006 13 0 0.902424476381848 0.631004892678562 0.875 0.6 0.349375 0.3871875 0.0976594027441486 FALSE FALSE FALSE
Contig100902_21396 Contig100902 21396 Cline 2 68.2313198493239 24.6454418587506 0.0372248320893236 0.0466142215975521 0.964023209752098 0.917408988154545 82.7485393170491 0.841734946180446 6 17.4 0.0359767902479025 0.953385778402448 0.032258064516129 0.964285714285714 0.0656562573000066 0.499994027267515 0.868685916792206 LGC6.1/2 TRUE TRUE
Contig100902_21400 Contig100902 21400 Cline 2 55.1452200660612 0.253687343406375 0.808178685122939 0.0408158451864674 0.243754896617965 0.202939051431498 10.6792169298758 0.0843661427009565 6 17.4 0.756245103382035 0.959184154813533 0.783333333333333 0.965116279069767 0.203389069166517 0.219911588846825 0.0751325556190499 LGC6.1/2 FALSE FALSE
Contig100907_749 Contig100907 749 NoCline NA NA NA NA NA NA NA NA NA 9 29.5 NA NA 0.144736842105263 0.111111111111111 0.222553520741424 0.22311886563387 0.00253382828403793 LGC9.1 FALSE FALSE
Contig100907_755 Contig100907 755 NoCline NA NA NA NA NA NA NA NA NA 9 29.5 NA NA 0.144736842105263 0.0666666666666667 0.186010310864881 0.189057787011388 0.0161192839220268 LGC9.1 FALSE FALSE
Contig100907_762 Contig100907 762 Cline 1 62.8921819262931 7.02992767374585 0.0519011238689982 0.129351777104243 0.492334555841135 0.362982778736891 25.7997786015741 0.153763548485558 9 29.5 0.492334555841135 0.129351777104243 0.539473684210526 0.133333333333333 0.363997383810403 0.446472376115728 0.184725857001166 LGC9.1 FALSE FALSE
Contig100907_767 Contig100907 767 NoCline NA NA NA NA NA NA NA NA NA 9 29.5 NA NA 0.144736842105263 0.0666666666666667 0.186010310864881 0.189057787011388 0.0161192839220268 LGC9.1 FALSE FALSE
Contig100907_769 Contig100907 769 NoCline NA NA NA NA NA NA NA NA NA 9 29.5 NA NA 0.144736842105263 0.111111111111111 0.222553520741424 0.22311886563387 0.00253382828403793 LGC9.1 FALSE FALSE
Contig101006_1295 Contig101006 1295 NoCline NA NA NA NA NA NA NA NA NA 16 34.1 NA NA 0.875 0.91304347826087 0.188770085066162 0.189493738185255 0.00381887615930178 FALSE FALSE FALSE
Contig101006_1376 Contig101006 1376 NoCline NA NA NA NA NA NA NA NA NA 16 34.1 NA NA 0.470588235294118 0.5 0.499134948096886 0.499567474048443 0.000865800865800824 FALSE FALSE FALSE
Contig101039_87 Contig101039 87 NoCline NA NA NA NA NA NA NA NA NA 11 52.3 NA NA 0.756756756756757 0.711111111111111 0.389508066625184 0.390549829108388 0.00266742526960576 LGC11.1 FALSE FALSE
