cp Contig Position Type Wave Centre Width slope p_crab p_wave p_diff Var.Ex Fst LG av ref_p_wave ref_p_crab p_waveRaw p_crabRaw HsRaw HtRaw FstRaw invRui sel selFst
Contig100005_1370 Contig100005 1370 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.847826086956522 0.666666666666667 0.351239235454736 0.367648603234614 0.0446332928658145 FALSE FALSE FALSE
Contig100005_1371 Contig100005 1371 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.847826086956522 0.666666666666667 0.351239235454736 0.367648603234614 0.0446332928658145 FALSE FALSE FALSE
Contig100005_1374 Contig100005 1374 NoCline NA NA NA NA NA NA NA NA NA 6 47.4 NA NA 0.75 0.777777777777778 0.360339506172839 0.360725308641975 0.00106951871657762 FALSE FALSE FALSE
Contig100064_29077 Contig100064 29077 NoCline NA NA NA NA NA NA NA NA NA 17 36 NA NA 0.58695652173913 0.222222222222222 0.415278069499872 0.481793624121916 0.13805818776301 FALSE FALSE FALSE
Contig10010_32172 Contig10010 32172 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.5 0.833333333333333 0.388888888888889 0.444444444444445 0.125 FALSE FALSE FALSE
Contig10010_32230 Contig10010 32230 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.5 0.833333333333333 0.388888888888889 0.444444444444445 0.125 FALSE FALSE FALSE
Contig10010_32297 Contig10010 32297 NoCline NA NA NA NA NA NA NA NA NA 15 52.7 NA NA 0.5 0.833333333333333 0.388888888888889 0.444444444444445 0.125 FALSE FALSE FALSE
Contig100134_20875 Contig100134 20875 NoCline NA NA NA NA NA NA NA NA NA 15 53 NA NA 0.565217391304348 0.444444444444444 0.492660272118369 0.499953324464982 0.0145874664488272 FALSE FALSE FALSE
Contig100134_20941 Contig100134 20941 Cline 1 23.6569287778196 6.79415762250217 0.0241595946911735 0.661409114992456 0.821729654599403 0.160320539606947 5.21902240473371 0.0335636626804688 15 53 0.821729654599403 0.661409114992456 0.815217391304348 0.611111111111111 0.388292317206936 0.409122004014096 0.0509131422968939 FALSE FALSE FALSE
Contig100134_20944 Contig100134 20944 Cline 1 21.6454625044577 0.0443693257483557 6.66832529115943 0.603753492113143 0.789688956540794 0.185935464427651 7.06169406766155 0.0410400727510465 15 53 0.789688956540794 0.603753492113143 0.771739130434783 0.555555555555556 0.423071425237461 0.446439094261243 0.0523423448442601 FALSE FALSE FALSE
Contig100148_8155 Contig100148 8155 Cline 2 20.3156621984766 16.7175654358149 0.0267082079496206 4.53978687024344e-05 0.445685006832825 0.445639608964122 15.2410931008275 0.286662901923508 1 81 0.554314993167175 0.999954602131298 0.630434782608696 1 0.232986767485822 0.301275992438563 0.226666666666666 LGC1.2 FALSE FALSE
Contig100148_8221 Contig100148 8221 Cline 2 19.6523672414931 14.5110969281034 0.0269475780385317 0.0880007127519108 0.479004719952045 0.391004007200134 11.159058461581 0.188192524859323 1 81 0.520995280047955 0.911999287248089 0.608695652173913 0.944444444444444 0.290654391000957 0.347018016756517 0.1624227649111 LGC1.2 FALSE FALSE
Contig100148_8224 Contig100148 8224 Cline 2 13.2229445461927 30.8762034794313 0.0134444160701847 0.378099987690381 0.793189600245951 0.41508961255557 5.7395879248068 0.177542385885948 1 81 0.206810399754049 0.621900012309619 0.206521739130435 0.5 0.413870510396976 0.456935255198488 0.0942469295410471 LGC1.2 FALSE FALSE
Contig100169_2489 Contig100169 2489 Cline 2 19.6307372401994 12.9619234479567 0.0523351464288217 0.351012148187266 0.735620358972767 0.384608210785501 9.88748695887088 0.150212559923626 12 29.6 0.264379641027233 0.648987851812734 0.282608695652174 0.5 0.452741020793951 0.476370510396975 0.0496031746031747 FALSE FALSE FALSE
Contig100169_2518 Contig100169 2518 Cline 2 18.2227653923043 13.8859989891465 0.0385451185056731 0.163989023512892 0.628567964462562 0.46457894094967 11.2213197401224 0.230280415845697 12 29.6 0.371432035537438 0.836010976487108 0.391304347826087 0.777777777777778 0.411024761371327 0.485705617400639 0.15375744762637 FALSE FALSE FALSE
Contig100209_14094 Contig100209 14094 Cline 2 21.508529309476 0.0648117281847556 19.4979529869872 0.427865382926253 0.616566042477934 0.188700659551681 5.54851867739079 0.0357786836750783 12 29.6 0.383433957522066 0.572134617073747 0.391304347826087 0.611111111111111 0.475839576186142 0.499997082779061 0.0483152950786197 FALSE FALSE FALSE
Contig1003_21108 Contig1003 21108 NoCline NA NA NA NA NA NA NA NA NA 4 10.6 NA NA 0.934782608695652 1 0.0609640831758036 0.0630907372400758 0.0337078651685393 FALSE FALSE FALSE
Contig100348_16492 Contig100348 16492 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.488636363636364 0.5625 0.495964617768595 0.498692536157025 0.00547014079948218 LGC10.2 FALSE FALSE
Contig100348_16610 Contig100348 16610 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.391304347826087 0.388888888888889 0.475839576186142 0.475842493407081 6.1306440242765e-06 LGC10.2 FALSE FALSE
Contig100348_16613 Contig100348 16613 NoCline NA NA NA NA NA NA NA NA NA 10 41.6 NA NA 0.391304347826087 0.388888888888889 0.475839576186142 0.475842493407081 6.1306440242765e-06 LGC10.2 FALSE FALSE
Contig100506_3872 Contig100506 3872 NoCline NA NA NA NA NA NA NA NA NA 11 52.9 NA NA 0.771739130434783 0.666666666666667 0.39838006721277 0.403900178533921 0.013667018769806 LGC11.1 FALSE FALSE
Contig100520_389 Contig100520 389 Cline 2 20.8490897635699 0.00673871835201224 32.092032336138 0.445448444111855 0.661709559648759 0.216261115536904 9.23182986277878 0.0493585943439646 7 2.7 0.338290440351241 0.554551555888145 0.369565217391304 0.5 0.482986767485822 0.491493383742911 0.0173076923076925 FALSE FALSE FALSE
Contig100520_454 Contig100520 454 Cline 2 20.7862065847759 0.0374225529064245 23.3533495353862 0.425578028302609 0.659334316960874 0.233756288658265 8.912598254429 0.055141567275223 7 2.7 0.340665683039126 0.574421971697391 0.369565217391304 0.5 0.482986767485822 0.491493383742911 0.0173076923076925 FALSE FALSE FALSE
Contig100590_12179 Contig100590 12179 NoCline NA NA NA NA NA NA NA NA NA 3 18.4 NA NA 0.891304347826087 0.944444444444444 0.14935004317487 0.150761978109174 0.00936532507739923 FALSE FALSE FALSE
Contig100708_597 Contig100708 597 NoCline NA NA NA NA NA NA NA NA NA 7 15.3 NA NA 0.588888888888889 0.555555555555556 0.489012345679012 0.489567901234568 0.00113478754255448 FALSE FALSE FALSE
Contig100715_3245 Contig100715 3245 Cline 2 21.5001931366385 4.68853559358848 0.0777765918852669 4.53978687024344e-05 0.361604758853228 0.361559360984526 17.6114019965959 0.220630062913067 2 48.8 0.638395241146772 0.999954602131298 0.673913043478261 1 0.219754253308129 0.272920604914934 0.194805194805195 FALSE FALSE FALSE
Contig100728_1086 Contig100728 1086 NoCline NA NA NA NA NA NA NA NA NA 4 43 NA NA 0.822222222222222 1 0.146172839506173 0.161975308641976 0.0975609756097563 FALSE FALSE FALSE
