cp pC1992 pW0000 pS2005 pS2018 pS2021
LGC1.1 0.5625 0.994949494949495 1 0.990196078431373 1
LGC1.2 0.708333333333333 0.852941176470588 0.842105263157895 0.788461538461538 0.822916666666667
LGC2.1 0.5 0.823232323232323 0.684210526315789 0.862745098039216 0.836734693877551
LGC4.1 0.791666666666667 0.918367346938776 0.868421052631579 0.892156862745098 0.914893617021277
LGC6.1/2 0 0.798913043478261 0.802631578947368 1 0.916666666666667
LGC6.1/2 0.708333333333333 0.00543478260869565 0.144736842105263 0 0.0238095238095238
LGC7.1 0.375 0.99468085106383 0.894736842105263 0.892156862745098 0.858974358974359
LGC7.2 0.708333333333333 0.947916666666667 0.894736842105263 0.92156862745098 0.934782608695652
LGC9.1 0.3125 0.348958333333333 0.526315789473684 0.46078431372549 0.430232558139535
LGC10.1 0.6875 0.905940594059406 0.776315789473684 0.855769230769231 0.86734693877551
LGC10.2 0.875 1 1 1 1
LGC11.1 0.833333333333333 0.98469387755102 0.907894736842105 0.99 0.945652173913043
LGC14.1/2 0.0416666666666667 0.984375 0.855263157894737 0.990196078431373 0.965909090909091
LGC14.1/2 0.708333333333333 0.015625 0.0526315789473684 0.00980392156862745 0.0227272727272727
LGC17.1 0 0.348484848484849 0.0810810810810811 0.392156862745098 0.378048780487805
